"result.1";"result.2";"result.3";"result.4";"result.5";"result.6";"result.7";"result.8";"result.9";"result.10";"result.11";"result.12";"result.13";"result.14";"result.15";"result.16";"result.17";"result.18";"result.19";"result.20";"result.21";"result.22";"result.23";"result.24";"result.25";"result.26";"result.27";"result.28";"result.29";"result.30";"result.31";"result.32";"result.33";"result.34";"result.35";"result.36";"result.37";"result.38";"result.39";"result.40";"result.41";"result.42";"result.43";"result.44";"result.45";"result.46";"result.47";"result.48";"result.49";"result.50";"result.51";"result.52";"result.53";"result.54";"result.55";"result.56";"result.57";"result.58";"result.59";"result.60";"result.61";"result.62"
1,41794261981298e-08;2,54141556720254e-07;1,05647156793067e-08;6,15865660716475e-07;1,14159670665549e-06;1,67634163232496e-06;7,28555113969673e-07;1,09815635288379e-05;1,10504030534077e-05;3,19770585698627e-06;2,4363425114275e-06;4,79017914944783e-06;5,35103317854683e-06;1,37582398453108e-06;2,64929095829333e-06;5,67518535221895e-07;3,55334106400625e-08;1,95871116004173e-07;2,70598771313656e-07;1,12480546123337e-07;1,10916537673179e-06;7,15169388792635e-08;2,39051055924559e-07;4,47082379175815e-07;4,84621375540988e-07;2,11020847901378e-07;3,3475036746626e-07;9,67906518236219e-08;1,15855532906655e-07;4,72032027126027e-07;5,78717991860237e-08;2,06219801152132e-06;1,92923411175539e-07;5,31223953751703e-07;8,87660315978316e-08;2,90060780196204e-08;7,92772829740729e-08;1,60517155250223e-06;6,00252706182044e-08;7,57094058328002e-08;2,51037772528172e-07;3,78568301312932e-07;1,92696508417787e-07;1,1445054617518e-06;6,81821378859708e-07;6,00564936486299e-07;1,40586630602067e-07;2,28537575168897e-08;3,48771978988711e-07;1,17315109956158e-06;9,60345528151073e-07;8,96679465815542e-07;7,21964145519631e-07;1,33341631556945e-06;3,41491787604032e-06;3,87662658314743e-07;2,75570049323546e-08;1,89923803331435e-08;3,33917256512642e-06;5,2760128036565e-06;2,22830346132976e-06;8,91568294432922e-06
1,43588313171929e-08;2,54667124543758e-07;1,07951308268579e-08;6,16534420434564e-07;1,1414204030704e-06;1,67624302075771e-06;7,24019162832516e-07;1,09734065859548e-05;1,10381793038387e-05;3,19523652178912e-06;2,43485150367071e-06;4,79081470835221e-06;5,34938416451362e-06;1,37526675402087e-06;2,64813905362763e-06;5,66201930832525e-07;3,54869546388256e-08;1,96473352155307e-07;2,70893535671504e-07;1,11376151935534e-07;1,10822340165712e-06;7,17854293373067e-08;2,39106416363599e-07;4,4818361162044e-07;4,83090806583064e-07;2,11079595969094e-07;3,35225629227422e-07;9,64817023637752e-08;1,15789353546702e-07;4,72524783312515e-07;5,80888064472453e-08;2,06127676439191e-06;1,94871614479375e-07;5,30832537941634e-07;8,85123084072412e-08;3,02220043451526e-08;7,49686920839908e-08;1,58931081408508e-06;5,98544167652278e-08;7,61188617790887e-08;2,50456406032208e-07;3,76631336382411e-07;1,92497233858506e-07;1,13824631239305e-06;6,82083493214589e-07;6,01065815720817e-07;1,412312815236e-07;2,31420911925527e-08;3,4893822687558e-07;1,17286496132322e-06;9,60169433254144e-07;8,96908448517727e-07;7,21981670280392e-07;1,32039376617197e-06;3,41177906412675e-06;3,87809946970972e-07;2,74893043175431e-08;1,90807585679143e-08;3,33656002432752e-06;5,27529674907647e-06;2,22785997971603e-06;8,91096254814035e-06
1,46818799737719e-08;2,55730130209211e-07;1,12213044078095e-08;6,17602515003467e-07;1,14135915012704e-06;1,6764753245779e-06;7,19802985767868e-07;1,09663581172769e-05;1,1027912542175e-05;3,19320712489704e-06;2,43341307040049e-06;4,79201144354375e-06;5,34803347923216e-06;1,37502479553786e-06;2,64742517979057e-06;5,65029363029855e-07;3,55633918605595e-08;1,97230219314109e-07;2,71290250249064e-07;1,10564102549334e-07;1,10747591783194e-06;7,22254369401093e-08;2,39244258992804e-07;4,49236870284342e-07;4,81829057503177e-07;2,11271932832033e-07;3,35945979372794e-07;9,62607371019272e-08;1,16036723943516e-07;4,73286899945652e-07;5,84610193420768e-08;2,06114474234775e-06;1,97318019264691e-07;5,30699170911774e-07;8,84002581175982e-08;3,17926296870526e-08;7,14351477919031e-08;1,61112419878209e-06;5,99258062925708e-08;7,69166219466594e-08;2,49987691186031e-07;3,75033154820159e-07;1,92413646498471e-07;1,13272387243145e-06;6,82709728838358e-07;6,01915644782507e-07;1,42125922143146e-07;2,3614972408771e-08;3,49240651928772e-07;1,17285829473107e-06;9,60155320667312e-07;8,97523472932176e-07;7,22267532446392e-07;1,30937981410866e-06;3,40951650310254e-06;3,88079670153785e-07;2,74642392184224e-08;1,92722043598393e-08;3,33445604654459e-06;5,2748779376197e-06;2,227446340773e-06;8,90786776308278e-06
1,51512081516234e-08;2,57053325504802e-07;1,18322132506672e-08;6,18825562225121e-07;1,14133155989385e-06;1,67676327551211e-06;7,15690608071898e-07;1,09593516707759e-05;1,1017680199038e-05;3,19118373514224e-06;2,43199792703047e-06;4,79331712236118e-06;5,34669014942038e-06;1,37485638905552e-06;2,64671728377102e-06;5,6388101891115e-07;3,57272760746735e-08;1,9816366028401e-07;2,71786474397494e-07;1,09794832095434e-07;1,10681496064467e-06;7,28119863307147e-08;2,39438459418249e-07;4,50350405258692e-07;4,80664208986463e-07;2,11520719630581e-07;3,36804128291379e-07;9,60912594067033e-08;1,16446083282e-07;4,74230332858806e-07;5,89468527378507e-08;2,06111283243492e-06;2,00281878973192e-07;5,30695609884584e-07;8,84150458128654e-08;3,38547842567767e-08;6,88147912131949e-08;1,70184975846026e-06;6,00663024708376e-08;7,80564412404193e-08;2,49593110413084e-07;3,73544627869288e-07;1,92380086918764e-07;1,1274908295993e-06;6,83435696124158e-07;6,02912269681258e-07;1,43226155849417e-07;2,42678384805281e-08;3,49610814698083e-07;1,17288792166289e-06;9,60176562538951e-07;8,98237906373423e-07;7,22625731362521e-07;1,30025816041443e-06;3,40728402768312e-06;3,88411720903915e-07;2,74490748753795e-08;1,95524957887797e-08;3,33239628870532e-06;5,27448894271663e-06;2,2270662470727e-06;8,90479844311871e-06
1,57610426081927e-08;2,58636025115914e-07;1,26274524365059e-08;6,20203300008366e-07;1,14133756050909e-06;1,67710678853174e-06;7,11681853443025e-07;1,09523871724506e-05;1,10074822007562e-05;3,18916634421258e-06;2,43060602583437e-06;4,79473147042652e-06;5,34535415687444e-06;1,37476132286542e-06;2,64601535167291e-06;5,62756846822834e-07;3,59783581098923e-08;1,99273183266264e-07;2,72381932047588e-07;1,09068257957154e-07;1,1062403245371e-06;7,35446900464043e-08;2,39688910348902e-07;4,51524094175374e-07;4,79596056137419e-07;2,11825855267451e-07;3,37799757790694e-07;9,59731835804424e-08;1,17016973324993e-07;4,75354582330266e-07;5,95460801905559e-08;2,06118082535753e-06;2,03760982114368e-07;5,30821484335972e-07;8,8556459939131e-08;3,64070335231157e-08;6,70626476659516e-08;2,04534233803597e-06;6,0275765050314e-08;7,95374651884815e-08;2,49272372349257e-07;3,72165520615109e-07;1,92396459299079e-07;1,12254652871166e-06;6,8426121364791e-07;6,04055364722848e-07;1,44531485018041e-07;2,51002601521398e-08;3,50048577430152e-07;1,17295378389248e-06;9,60233081396744e-07;8,99051572296485e-07;7,23056112620028e-07;1,29291250251565e-06;3,40508154928655e-06;3,88805975133781e-07;2,74437991650764e-08;1,99214021714582e-08;3,33038065997099e-06;5,27412972036556e-06;2,22671962282107e-06;8,9017545162956e-06
1,65110573561333e-08;2,60477545636819e-07;1,36066181073211e-08;6,21735466714554e-07;1,14137708022397e-06;1,67750577864524e-06;7,0777654605343e-07;1,09454645488516e-05;1,09973184738056e-05;3,18715494380615e-06;2,42923731910671e-06;4,79625421415002e-06;5,34402548307806e-06;1,37473938593867e-06;2,64531936970616e-06;5,61656795255164e-07;3,63163895865728e-08;2,00558297953533e-07;2,73076347980442e-07;1,08384297726125e-07;1,1057518045055e-06;7,44231617392497e-08;2,39995504744743e-07;4,52757815148246e-07;4,78624394658411e-07;2,12187238898476e-07;3,38932550586686e-07;9,5886989506489e-08;1,17748937298828e-07;4,76659150204396e-07;6,02584758180062e-08;2,06134851243391e-06;2,0521782937993e-07;5,31076424837377e-07;8,88242960033557e-08;3,94479472834068e-08;6,61898228762238e-08;6,65470328737496e-06;6,05540541358967e-08;8,13588415822584e-08;2,49025201325017e-07;3,70895598688769e-07;1,92462668012725e-07;1,11789031608794e-06;6,85186100356515e-07;6,05344605008031e-07;1,46041413412697e-07;2,61118093923327e-08;3,50553802699644e-07;1,17305582325902e-06;9,60324799929398e-07;8,99964294472189e-07;7,23558522200515e-07;1,28748438320114e-06;3,40290897967887e-06;3,89262309145019e-07;2,74483999581982e-08;2,03786934856215e-08;3,32840906962542e-06;5,2738002264304e-06;2,22640639243892e-06;8,8987359108421e-06
1,74009272933033e-08;2,62577205703899e-07;1,47693074595675e-08;6,23421801236517e-07;1,14145004751134e-06;1,67796016110417e-06;7,03974510288614e-07;1,09385837262474e-05;1,09871889448682e-05;3,18514952565028e-06;2,427891759286e-06;4,79788508066847e-06;5,34270410974644e-06;1,37479036779709e-06;2,64462932402808e-06;5,60580812840525e-07;3,67411229112953e-08;2,02018515476786e-07;2,73869447765358e-07;1,077428692018e-07;1,10534919609839e-06;7,54470161801235e-08;2,40358135828735e-07;4,54051446477915e-07;4,77749020760373e-07;2,12604769872065e-07;3,40202190205056e-07;9,58715037480041e-08;1,18641519741331e-07;4,78143539726794e-07;6,1083814273285e-08;2,06161568546744e-06;2,0066375909484e-07;5,31460063069317e-07;8,92183565963666e-08;4,29760997743122e-08;6,61878907408213e-08;5,46783144042369e-07;6,09010301862491e-08;8,35197204716173e-08;2,48851337147455e-07;3,69734628311953e-07;1,92578617656174e-07;1,11352153963008e-06;6,86210175569902e-07;6,06779666525662e-07;1,47755446217621e-07;2,73020593965762e-08;3,51126353446793e-07;1,17319398173816e-06;9,6045164103773e-07;9,00975897071528e-07;7,24132806441826e-07;1,28418853149559e-06;3,40076623089802e-06;3,89780599487784e-07;2,74628651769589e-08;2,09241403780793e-08;3,32648142727801e-06;5,2735004170307e-06;2,22612648056742e-06;8,89574255525266e-06
1,84303282066012e-08;2,64934325910901e-07;1,61151187460005e-08;6,25262042993296e-07;1,14155639104142e-06;1,67846985130856e-06;7,00275570989558e-07;1,09317446313872e-05;1,09770935407873e-05;3,18315008148734e-06;2,4265692989648e-06;4,79962379791435e-06;5,34139001862699e-06;1,37491405867457e-06;2,64394520092612e-06;5,59528848354029e-07;3,72523112763774e-08;2,03653348464419e-07;2,74760957826818e-07;1,07143890391906e-07;1,10503229541576e-06;7,66158692676089e-08;2,40776697039407e-07;4,5540486681828e-07;4,76969731254243e-07;2,13078347797487e-07;3,41608361090911e-07;9,59071638403576e-08;1,19694266598174e-07;4,79807255694324e-07;6,20218707777499e-08;2,0619821367972e-06;1,97543026835481e-07;5,31972031816138e-07;8,97384514193329e-08;4,69900695555242e-08;6,70487155472807e-08;1,04004167347733e-06;6,13165540112148e-08;8,60192541574799e-08;2,48750534908934e-07;3,68682376270813e-07;1,92744213033771e-07;1,10943954880068e-06;6,8733325903267e-07;6,08360226109337e-07;1,49673090010089e-07;2,86705845778262e-08;3,51766092969128e-07;1,1733682014388e-06;9,6061352785314e-07;9,02086204653617e-07;7,24778812114903e-07;1,28333170794163e-06;3,39865321521271e-06;3,9036072309329e-07;2,74871827546754e-08;2,15575141559667e-08;3,32459764270961e-06;5,27323024827826e-06;2,22587981206928e-06;8,89277437820071e-06
1,95989367663524e-08;2,67548228804375e-07;1,76436512708226e-08;6,27255931906339e-07;1,14169603967235e-06;1,67903476484359e-06;6,96679553350613e-07;1,09249471910796e-05;1,09670321885806e-05;3,18115660307859e-06;2,42526989080124e-06;4,80147009451982e-06;5,34008319145322e-06;1,37511024937161e-06;2,64326698664681e-06;5,58500850711946e-07;3,78497086558737e-08;2,05462310984276e-07;2,75750605390218e-07;1,06587279509845e-07;1,10480089910879e-06;7,79293380091326e-08;2,41251082100655e-07;4,56817955128538e-07;4,76286323448025e-07;2,1360787249795e-07;3,43150748522723e-07;9,59938848334199e-08;1,20906725175529e-07;4,81649804354485e-07;6,30724210934782e-08;2,06244765929413e-06;1,95852086830371e-07;5,32611964954745e-07;9,03843973132269e-08;5,14884395494211e-08;6,87644477202138e-08;1,11658615873097e-06;6,18004867715492e-08;8,88565971846619e-08;2,48722564818683e-07;3,6773860992539e-07;1,92959359162347e-07;1,10564369460371e-06;6,88555170866766e-07;6,10085961451976e-07;1,51793852778017e-07;3,02169605716621e-08;3,52472884923232e-07;1,17357842458969e-06;9,60810383705681e-07;9,03295042148045e-07;7,25496386357966e-07;1,2853401212328e-06;3,3965698452321e-06;3,91002557183661e-07;2,75213406502198e-08;2,22785867912156e-08;3,32275762606939e-06;5,27298967644384e-06;2,2256663120205e-06;8,88983130862591e-06
2,09064305204304e-08;2,70418238938256e-07;1,93545053827323e-08;6,29403208428417e-07;1,1418689224716e-06;1,67965481746886e-06;6,93186282861545e-07;1,09181913322709e-05;1,09570048154424e-05;3,17916908220525e-06;2,4239934876018e-06;4,80342369992641e-06;5,33878361016386e-06;1,37537873136693e-06;2,64259466754758e-06;5,5749676897183e-07;3,85330698026994e-08;2,07444918580781e-07;2,76838118513479e-07;1,06072954977014e-07;1,10465480437523e-06;7,93870405324341e-08;2,41781184949052e-07;4,5829059062661e-07;4,75698595206415e-07;2,14193244029595e-07;3,44829038661285e-07;9,61315819926617e-08;1,22278444125486e-07;4,83670693436981e-07;6,4235241537045e-08;2,06301204635637e-06;1,95588456780979e-07;5,33379497460038e-07;9,11560182908788e-08;5,64697970186561e-08;7,1327519750028e-08;1,15270175320733e-06;6,23526899771392e-08;9,20309063353628e-08;2,48767212060486e-07;3,66903097208029e-07;1,93223961271565e-07;1,10213332961543e-06;6,89875731593373e-07;6,11956551089943e-07;1,54117243885376e-07;3,19407642161318e-08;3,53246593312769e-07;1,17382459354629e-06;9,61042132147009e-07;9,04602234875401e-07;7,26285376714936e-07;1,29079927310618e-06;3,39451603381792e-06;3,91705979316684e-07;2,75653268568837e-08;2,30871309105481e-08;3,32096128764314e-06;5,2727786578655e-06;2,22548590571681e-06;8,88691327565241e-06
